year,plot,stake,species,abundance
1995,15,37,Hapl grac,1
1995,15,37,Hapl grac,1
1995,15,55,Hapl grac,2
1995,15,55,Hapl grac,2
1995,16,17,Hapl grac,3
1995,16,17,Hapl grac,3
1995,16,33,Hapl grac,2
1995,16,33,Hapl grac,2
1995,16,57,Hapl grac,2
1995,16,57,Hapl grac,2
1995,17,11,Hapl grac,5
1995,17,11,Hapl grac,5
1995,17,13,Hapl grac,23
1995,17,13,Hapl grac,23
1995,17,15,Hapl grac,8
1995,17,15,Hapl grac,8
1995,17,17,Hapl grac,1
1995,17,17,Hapl grac,1
1995,17,31,Hapl grac,4
1995,17,31,Hapl grac,4
1995,17,33,Hapl grac,3
1995,17,33,Hapl grac,3
1995,17,35,Hapl grac,3
1995,17,35,Hapl grac,3
1995,17,51,Hapl grac,3
1995,17,51,Hapl grac,3
1995,17,53,Hapl grac,1
1995,17,53,Hapl grac,1
1995,17,55,Hapl grac,6
1995,17,55,Hapl grac,6
1995,18,13,Hapl grac,2
1995,18,13,Hapl grac,2
1995,18,15,Hapl grac,4
1995,18,15,Hapl grac,4
1995,18,17,Hapl grac,1
1995,18,17,Hapl grac,1
1995,18,51,Hapl grac,7
1995,18,51,Hapl grac,7
1995,18,53,Hapl grac,1
1995,18,53,Hapl grac,1
1995,18,57,Hapl grac,1
1995,18,57,Hapl grac,1
1995,18,77,Hapl grac,5
1995,18,77,Hapl grac,5
1995,19,17,Hapl grac,2
1995,19,17,Hapl grac,2
1995,19,37,Hapl grac,2
1995,19,37,Hapl grac,2
1995,19,53,Hapl grac,1
1995,19,53,Hapl grac,1
1995,19,55,Hapl grac,1
1995,19,55,Hapl grac,1
1995,19,77,Hapl grac,1
1995,19,77,Hapl grac,1
1995,20,11,Hapl grac,3
1995,20,11,Hapl grac,3
1995,20,15,Hapl grac,9
1995,20,15,Hapl grac,9
1995,20,17,Hapl grac,5
1995,20,17,Hapl grac,5
1995,20,31,Hapl grac,11
1995,20,31,Hapl grac,11
1995,20,33,Hapl grac,2
1995,20,33,Hapl grac,2
1995,20,35,Hapl grac,1
1995,20,35,Hapl grac,1
1995,20,55,Hapl grac,10
1995,20,55,Hapl grac,10
1995,20,57,Hapl grac,13
1995,20,57,Hapl grac,13
1995,20,73,Hapl grac,3
1995,20,73,Hapl grac,3
1995,20,75,Hapl grac,15
1995,20,75,Hapl grac,15
1995,20,77,Hapl grac,5
1995,20,77,Hapl grac,5
1995,21,11,Hapl grac,1
1995,21,11,Hapl grac,1
